timestamp,sumOpenInterest,sumOpenInterestValue,symbol
1772208000000,78429.91500000,5182433518.36442400,BTCUSDT
1772211600000,79120.83100000,5178656191.02750000,BTCUSDT
1772215200000,79677.98300000,5233477109.04186200,BTCUSDT
1772218800000,79748.39600000,5206835492.33044000,BTCUSDT
1772222400000,79999.83100000,5229058671.27102200,BTCUSDT
1772226000000,80002.29500000,5245658270.64952900,BTCUSDT
1772229600000,79539.52700000,5210021959.41210000,BTCUSDT
1772233200000,79283.18900000,5201928490.38254300,BTCUSDT
1772236800000,79180.59600000,5213380080.16903600,BTCUSDT
1772240400000,79076.40700000,5211633402.66410000,BTCUSDT
1772244000000,79159.07400000,5206053262.38950300,BTCUSDT
1772247600000,79324.76700000,5229643914.00900000,BTCUSDT
1772251200000,79391.74300000,5221099249.58465000,BTCUSDT
1772254800000,79568.56700000,5222252146.20070000,BTCUSDT
1772258400000,79746.90300000,5228183036.60910000,BTCUSDT
1772262000000,81215.21200000,5133285132.09242800,BTCUSDT
1772265600000,80302.90600000,5122594646.35540000,BTCUSDT
1772269200000,80608.46000000,5113986101.85800000,BTCUSDT
1772272800000,80721.72800000,5136395370.41026200,BTCUSDT
1772276400000,80992.71600000,5180950370.68090500,BTCUSDT
1772280000000,80481.46500000,5135160115.05750000,BTCUSDT
1772283600000,80284.15700000,5136146159.63244800,BTCUSDT
1772287200000,79876.79000000,5198689509.09967600,BTCUSDT
1772290800000,79720.39400000,5134171205.53611200,BTCUSDT
1772294400000,79010.53800000,5119986098.82837900,BTCUSDT
1772298000000,79472.63700000,5169997032.87060000,BTCUSDT
1772301600000,79424.80400000,5194869574.78730700,BTCUSDT
1772305200000,78138.02600000,5147600318.23580000,BTCUSDT
1772308800000,77827.03700000,5162939277.16610050,BTCUSDT
1772312400000,77339.19600000,5175600867.67680000,BTCUSDT
1772316000000,77047.75900000,5137906694.58730000,BTCUSDT
1772319600000,77208.23900000,5179133592.18723500,BTCUSDT
1772323200000,77361.25100000,5179889735.56561300,BTCUSDT
1772326800000,77497.49600000,5173994944.65385700,BTCUSDT
1772330400000,77615.39400000,5224703531.72820000,BTCUSDT
1772334000000,77693.17000000,5252123699.51562000,BTCUSDT
1772337600000,78276.08800000,5281663382.58240000,BTCUSDT
1772341200000,78155.02800000,5261147180.04859800,BTCUSDT
1772344800000,78359.46500000,5271241883.41959200,BTCUSDT
1772348400000,77799.85200000,5204382199.61400000,BTCUSDT
1772352000000,77520.15600000,5202679997.76840000,BTCUSDT
1772355600000,78011.64200000,5190627005.82421700,BTCUSDT
